NAME : gdb13a
VERTICES : 10
DEPOT : 1
REQUIRED EDGES : 28
NON-REQUIRED EDGES : 0
VEHICLES : 6
CAPACITY : 41
TOTAL COST OF REQUIRED EDGES : 509
NODES       COST         DEMAND
1   5   7        12
1   6   18        2
1   7   4        13
1   8   24        12
1   9   11        16
2   1   15        13
2   3   5        11
2   5   12        7
2   8   13        13
3   1   8        16
3   6   1        7
3   7   10        5
3   8   24        3
4   1   6        13
4   2   3        4
4   3   28        7
4   5   2        15
5   6   20        9
5   7   42        5
5   9   12        5
6   7   9        8
6   9   13        3
7   8   16        9
7   9   60        3
7   10   5        14
8   9   22        7
8   10   99        8
9   10   20        5
