NAME : gdb21
VERTICES : 11
DEPOT : 1
REQUIRED EDGES : 33
NON-REQUIRED EDGES : 0
VEHICLES : 6
CAPACITY : 27
TOTAL COST OF REQUIRED EDGES : 149
NODES       COST         DEMAND
1   2   1        6
1   3   7        3
1   5   8        2
1   6   6        4
1   7   3        3
1   8   2        5
1   9   4        6
1   10   2        4
1   11   1        8
2   3   1        7
2   4   2        8
2   5   4        5
2   6   4        3
2   8   1        7
2   9   6        1
3   5   6        9
3   6   9        2
3   10   3        1
3   11   6        7
4   7   8        1
4   8   9        9
4   9   8        6
5   7   4        4
6   7   8        6
6   9   4        4
6   10   7        7
6   11   3        1
7   8   3        5
7   9   6        1
7   10   3        7
7   11   2        1
8   10   1        2
9   10   7        9
