NAME : gdb22
VERTICES : 11
DEPOT : 1
REQUIRED EDGES : 44
NON-REQUIRED EDGES : 0
VEHICLES : 8
CAPACITY : 27
TOTAL COST OF REQUIRED EDGES : 191
NODES       COST         DEMAND
1   2   6        5
1   3   1        4
1   4   2        4
1   5   1        1
1   6   1        6
1   7   1        3
1   8   1        6
1   9   2        1
1   10   3        9
1   11   3        5
2   3   5        3
2   4   1        7
2   5   8        9
2   7   1        1
2   8   1        2
2   9   8        4
2   11   5        1
3   4   6        1
3   5   3        3
3   7   1        4
3   9   9        8
3   10   1        6
3   11   8        9
4   5   7        7
4   6   6        9
4   7   7        7
4   8   7        5
4   9   1        4
4   10   8        2
4   11   3        8
5   7   6        8
5   8   1        2
5   10   6        7
5   11   8        8
6   7   5        3
6   8   8        6
6   9   5        1
6   10   6        1
7   9   6        4
7   10   2        2
7   11   1        5
8   9   9        3
9   10   7        8
9   11   4        3
