548526 13474
73 261014 0.5
73 261046 0.3333333333333333
73 393723 0.5
73 417573 0.3333333333333333
73 483855 0.16666666666666666
124 243477 1.0
124 302516 0.5
124 318491 0.3333333333333333
124 320027 0.2
124 366784 0.2
128 26513 1.0
128 350694 0.5
128 374193 0.3333333333333333
128 441002 0.25
128 530340 0.14285714285714285
176 131232 1.0
176 132531 0.5
176 132725 0.5
176 201855 0.25
176 321841 0.2
176 347858 0.2
176 533157 0.2
349 37216 1.0
349 220969 0.25
349 340505 0.25
349 535818 0.25
349 543799 0.1111111111111111
414 31823 1.0
414 265606 0.5
414 362149 0.5
414 363232 0.5
414 410079 0.25
414 501100 0.3333333333333333
599 24701 1.0
599 163894 0.3333333333333333
599 164710 0.5
599 198913 0.5
599 243898 0.5
599 344715 0.16666666666666666
599 420118 0.14285714285714285
599 527561 0.25
873 74023 1.0
873 183871 1.0
873 247194 0.25
873 255355 0.3333333333333333
873 366253 0.125
873 466634 0.2
1602 330542 0.5
1602 382058 0.3333333333333333
1602 417272 0.25
1602 425507 0.16666666666666666
1637 1640 1.0
1637 261662 0.5
1637 544403 0.3333333333333333
1637 546961 0.16666666666666666
1637 546964 0.14285714285714285
1640 261662 0.5
1640 544403 0.3333333333333333
1640 546961 0.16666666666666666
1640 546964 0.14285714285714285
1806 35472 1.0
1806 49243 0.3333333333333333
1806 49268 0.5
1806 158841 0.5
1806 164686 0.25
1806 321497 0.3333333333333333
1806 376498 0.25
1806 393054 0.1
1806 528993 0.25
1872 30562 1.0
1872 89325 0.5
1872 300768 0.5
1872 374435 0.3333333333333333
1872 449838 0.07142857142857142
2223 114393 0.5
2223 139407 0.5
2223 261397 0.3333333333333333
2223 264686 0.5
2223 289508 0.25
2223 328671 0.16666666666666666
2223 424392 0.16666666666666666
2223 479184 0.25
2223 497568 0.25
2223 527734 0.09090909090909091
2223 530164 0.25
2230 17348 1.0
2230 76246 0.25
2230 312849 0.2
2246 40924 1.0
2246 222688 0.16666666666666666
2246 243994 0.2
2246 276364 0.14285714285714285
2246 488231 0.08333333333333333
2348 20561 1.0
2348 372301 0.16666666666666666
2348 404585 0.2
2348 445171 0.2
2503 92800 0.14285714285714285
2503 386343 0.09090909090909091
2503 510772 0.05263157894736842
2641 65360 1.0
2641 127711 0.25
2641 259116 0.3333333333333333
2641 352696 0.2
2683 112014 1.0
2683 254184 0.5
2683 316507 0.2
2770 20183 0.5
2770 20185 0.3333333333333333
2770 20186 0.25
2770 119246 0.2
2770 262820 0.16666666666666666
2991 8183 1.0
2991 121944 0.3333333333333333
2991 271884 0.25
2991 370447 0.25
3085 250399 0.5
3085 276688 0.3333333333333333
3085 348709 0.125
3085 512927 0.08333333333333333
3120 101939 0.3333333333333333
3120 246768 0.14285714285714285
3120 276847 0.14285714285714285
3120 362551 0.1111111111111111
3120 436450 0.25
3123 132830 0.5
3123 143495 0.3333333333333333
3123 201249 0.25
3123 411093 0.07142857142857142
3123 420629 0.07692307692307693
3123 485258 0.07692307692307693
3210 75287 0.5
3210 149495 0.125
3210 383250 0.05263157894736842
3236 62953 1.0
3236 396806 0.3333333333333333
3236 457678 0.125
3236 474918 0.1
3236 505305 0.047619047619047616
3425 69540 1.0
3425 105548 1.0
3425 116210 0.3333333333333333
3425 163205 0.2
3425 219315 0.2
3456 77482 0.5
3456 178222 0.3333333333333333
3456 238357 0.16666666666666666
3456 311109 0.3333333333333333
3456 378470 0.08333333333333333
3456 396413 0.3333333333333333
3456 404545 0.3333333333333333
3850 35115 0.25
3850 38731 1.0
3850 76213 0.5
3850 229019 0.09090909090909091
3850 311508 0.2
3850 332908 0.05555555555555555
4005 44111 1.0
4005 72733 0.5
4005 97674 0.3333333333333333
4005 124690 0.3333333333333333
4005 282981 0.25
4005 319136 0.3333333333333333
4005 391665 0.16666666666666666
4005 463620 0.16666666666666666
4005 474167 0.16666666666666666
4005 493578 0.14285714285714285
4005 496977 0.25
4005 527275 0.25
4068 85992 1.0
4068 94324 1.0
4068 118909 0.2
4068 211337 0.16666666666666666
4068 236357 0.14285714285714285
4068 240860 0.3333333333333333
4068 255103 0.07142857142857142
4068 261066 0.14285714285714285
4068 514553 0.1111111111111111
4092 104191 1.0
4092 128901 0.5
4092 341575 0.3333333333333333
4092 389644 0.25
4092 413419 0.2
4177 9179 1.0
4177 144982 0.1
4177 352994 0.2
4177 489117 0.045454545454545456
4262 34379 1.0
4262 95461 0.3333333333333333
4262 162679 0.25
4262 226870 0.5
4262 227311 0.16666666666666666
4262 302969 0.5
4262 319198 0.5
4262 329351 0.16666666666666666
4262 329392 0.16666666666666666
4262 406413 0.1111111111111111
4262 470788 0.16666666666666666
4262 513208 0.2
4262 526954 0.2
4365 124819 0.2
4365 211726 0.5
4365 349450 0.5
4365 421255 0.3333333333333333
4365 493950 0.125
4389 49243 0.3333333333333333
4389 267328 0.3333333333333333
4389 321497 0.3333333333333333
4389 376498 0.25
4389 393054 0.1
4389 405956 0.25
4390 318580 0.25
4390 342640 0.2
4390 486876 0.1
4390 526214 0.1111111111111111
4406 157089 1.0
4406 234224 0.2
4406 430041 0.1
4406 453999 0.09090909090909091
4406 535391 0.07142857142857142
4465 124908 1.0
4465 202570 0.5
4465 452470 0.25
4465 497934 0.14285714285714285
4465 503387 0.25
4465 523812 0.125
4767 49756 0.05263157894736842
4767 84392 0.047619047619047616
4767 544170 0.041666666666666664
4804 26284 1.0
4804 49697 0.5
4804 84512 0.25
4804 91726 0.2
4804 123900 0.2
4804 354669 0.2
4804 518091 0.2
4891 154368 1.0
4891 240949 0.5
4891 391006 0.3333333333333333
4891 482090 0.3333333333333333
4891 485778 0.2
4891 540862 0.16666666666666666
4998 268035 0.2
4998 336727 0.2
4998 353578 0.1111111111111111
4998 421174 0.2
4998 445087 0.125
5238 168720 0.25
5238 229510 0.14285714285714285
5238 406305 0.125
5238 445716 0.07692307692307693
5238 494860 0.1111111111111111
5384 110507 1.0
5384 110512 0.5
5384 110748 0.3333333333333333
5384 192985 0.3333333333333333
5384 372395 0.2
5384 432505 0.16666666666666666
5456 68431 0.5
5456 143159 0.5
5456 197797 0.3333333333333333
5456 324084 0.2
5456 352091 0.25
5456 441254 0.25
5457 15489 1.0
5457 251108 0.3333333333333333
5457 270273 0.16666666666666666
5457 310937 0.1111111111111111
5457 496329 0.08333333333333333
5582 47930 1.0
5582 193375 0.5
5582 329508 0.5
5582 335028 0.5
5582 350684 0.3333333333333333
5582 374744 0.2
5582 492634 0.1111111111111111
5582 495203 0.1
5829 98588 1.0
5829 118943 0.3333333333333333
5829 143608 0.2
5829 444875 0.05555555555555555
5829 541959 0.07692307692307693
6165 29915 1.0
6165 173377 0.25
6165 268035 0.2
6165 350246 0.16666666666666666
6170 81957 1.0
6170 121596 0.16666666666666666
6170 187952 0.5
6170 215497 0.5
6170 256479 0.1
6170 273064 0.3333333333333333
6170 337822 0.25
6170 345142 0.25
6170 368759 0.09090909090909091
6170 393538 0.3333333333333333
6170 446997 0.25
6170 470866 0.25
6170 495786 0.08333333333333333
6170 505755 0.25
6290 16051 1.0
6290 91627 0.5
6290 237771 0.2
6290 343351 0.1111111111111111
6290 471109 0.14285714285714285
6633 49271 1.0
6633 175208 0.2
6633 339167 0.2
6633 479041 0.125
6690 53841 0.5
6690 132503 0.2
6690 314403 0.2
6690 494264 0.047619047619047616
6854 19622 1.0
6854 30849 0.5
6854 140014 0.25
6854 224056 0.3333333333333333
6854 375548 0.2
6854 478547 0.1
7548 153075 0.3333333333333333
7548 159053 0.25
7548 161949 0.25
7548 169353 0.2
7548 181064 0.25
7548 214046 0.25
7548 225457 0.25
7548 311490 0.5
7548 347739 0.16666666666666666
7548 380326 0.06666666666666667
7548 389529 0.2
7548 392651 0.2
7548 431943 0.25
7563 33741 1.0
7563 107678 1.0
7563 168662 0.25
7563 172464 0.16666666666666666
7563 193742 0.3333333333333333
7563 235945 0.25
7563 264806 0.2
7563 454625 0.07692307692307693
7563 507431 0.06666666666666667
7630 79348 1.0
7630 300830 0.5
7630 314477 0.25
7630 366327 0.2
7630 541715 0.16666666666666666
7651 34204 1.0
7651 35242 0.5
7651 62164 1.0
7651 112685 0.3333333333333333
7651 179116 0.5
7651 179914 0.3333333333333333
7651 235463 0.25
7651 235864 0.5
7651 238654 0.25
7651 349738 0.2
7651 388591 0.2
7651 395097 0.25
7651 404319 0.125
7651 502010 0.1
7916 88597 1.0
7916 126382 0.5
7916 153577 0.25
7916 158497 0.25
7916 251763 0.25
7916 266291 0.1111111111111111
7916 476822 0.09090909090909091
7916 535698 0.2
7916 541252 0.25
8183 121944 0.3333333333333333
8183 271884 0.25
8183 344930 0.25
8183 347926 0.5
8183 370447 0.25
8183 488148 0.25
8183 529044 0.25
8324 49756 0.05263157894736842
8324 84392 0.047619047619047616
8324 544170 0.041666666666666664
8481 103400 0.2
8481 441658 0.1
8481 481279 0.16666666666666666
8481 528442 0.08333333333333333
8558 315381 1.0
8558 449093 0.5
8619 64259 1.0
8619 89532 1.0
8619 107976 0.25
8619 108073 0.25
8619 360260 0.125
8619 382607 0.07142857142857142
8619 404936 0.2
8619 415818 0.125
8619 417210 0.2
8619 445065 0.2
8619 537837 0.2
8680 40204 1.0
8680 432419 0.16666666666666666
8680 466569 0.14285714285714285
8720 22915 1.0
8720 47521 1.0
8720 49211 1.0
8720 118030 0.3333333333333333
8720 239132 0.5
8720 286824 0.5
8720 339296 0.5
8720 480628 0.1111111111111111
8720 488277 0.16666666666666666
8720 496847 0.1111111111111111
8787 23338 1.0
8787 53654 0.5
8787 74163 0.5
8787 424802 0.3333333333333333
8787 450237 0.2
8787 535531 0.16666666666666666
9030 77482 0.5
9030 178222 0.3333333333333333
9030 238357 0.16666666666666666
9030 378470 0.08333333333333333
9169 110248 1.0
9169 114513 1.0
9169 394523 0.3333333333333333
9169 497146 0.25
9169 510389 0.2
9179 144982 0.1
9179 182215 0.16666666666666666
9179 213711 0.25
9179 434252 0.2
9179 483624 0.047619047619047616
9244 49756 0.05263157894736842
9244 84392 0.047619047619047616
9244 544170 0.041666666666666664
9246 49756 0.05263157894736842
9246 84392 0.047619047619047616
9246 544170 0.041666666666666664
9247 49756 0.05263157894736842
9247 84392 0.047619047619047616
9247 544170 0.041666666666666664
9252 49756 0.05263157894736842
9252 84392 0.047619047619047616
9252 544170 0.041666666666666664
9253 49756 0.05263157894736842
9253 84392 0.047619047619047616
9253 544170 0.041666666666666664
9254 49756 0.05263157894736842
9254 84392 0.047619047619047616
9254 544170 0.041666666666666664
9277 49756 0.05263157894736842
9277 84392 0.047619047619047616
9277 544170 0.041666666666666664
9282 49756 0.05263157894736842
9282 84392 0.047619047619047616
9282 544170 0.041666666666666664
9284 38972 1.0
9284 49756 0.05263157894736842
9284 84392 0.047619047619047616
9284 544170 0.041666666666666664
9762 16457 1.0
9762 196682 0.3333333333333333
9762 214555 0.5
9762 216152 0.25
9762 542780 0.25
9762 542899 0.2
9869 203600 0.3333333333333333
9869 226912 0.3333333333333333
9869 236382 1.0
9869 276086 0.25
9869 276847 0.14285714285714285
9869 341761 0.16666666666666666
10034 49756 0.05263157894736842
10034 84392 0.047619047619047616
10034 544170 0.041666666666666664
10035 49756 0.05263157894736842
10035 84392 0.047619047619047616
10035 544170 0.041666666666666664
10149 56711 0.5
10149 123304 0.2
10149 271402 0.25
10149 286245 0.14285714285714285
10149 481100 0.2
10539 51625 1.0
10539 157060 1.0
10539 177681 0.5
10539 184803 0.2
10539 193534 0.14285714285714285
10539 212245 0.16666666666666666
10539 222181 0.14285714285714285
10539 242068 0.2
10539 280526 0.25
10539 413495 0.25
10539 439133 0.14285714285714285
10539 463382 0.25
10546 64751 1.0
10546 250005 0.2
10546 392902 0.125
10584 91722 0.5
10584 139914 0.16666666666666666
10584 144982 0.1
10584 166267 0.2
10584 182215 0.16666666666666666
10584 435438 0.25
10584 489117 0.045454545454545456
10596 10609 0.3333333333333333
10596 10627 0.25
10596 59821 0.16666666666666666
10596 118088 0.14285714285714285
10598 10609 0.3333333333333333
10598 59821 0.16666666666666666
10598 118088 0.14285714285714285
10598 535420 0.2
10599 10609 0.3333333333333333
10599 10613 0.5
10599 10627 0.25
10599 59821 0.16666666666666666
10599 118088 0.14285714285714285
10609 10613 0.5
10609 10627 0.25
10609 59821 0.16666666666666666
10609 118088 0.14285714285714285
10609 535420 0.2
10613 10627 0.25
10613 59821 0.16666666666666666
10613 118088 0.14285714285714285
10627 59821 0.16666666666666666
10627 118088 0.14285714285714285
10627 535420 0.2
10654 138446 0.25
10654 228556 0.2
