36682 88328
1 2 1.0
1 3 1.0
1 4 1.0
1 5 1.0
1 6 1.0
1 7 1.0
1 8 1.0
1 9 1.0
1 10 1.0
1 11 1.0
3 142 1.0
3 344 1.0
3 2660 1.0
3 2661 1.0
3 2662 1.0
3 2663 1.0
3 2664 1.0
3 2665 1.0
3 2666 1.0
3 2667 1.0
5 1462 1.0
5 11101 1.0
5 11102 1.0
5 11103 1.0
5 11104 1.0
5 11105 1.0
5 11106 1.0
5 11107 1.0
5 11108 1.0
7 939 1.0
7 1212 1.0
7 1683 1.0
7 1684 1.0
7 1685 1.0
7 1686 1.0
7 1687 1.0
7 1688 1.0
7 1689 1.0
8 2044 1.0
8 3818 1.0
8 5673 1.0
8 5904 1.0
8 10083 1.0
8 11674 1.0
8 11675 1.0
8 11676 1.0
8 11677 1.0
8 11678 1.0
12 13 1.0
12 14 1.0
12 15 1.0
12 16 1.0
12 17 1.0
12 18 1.0
12 19 1.0
12 20 1.0
12 21 1.0
12 22 1.0
15 3581 1.0
15 4163 1.0
15 4720 1.0
15 5781 1.0
15 8892 1.0
15 11203 1.0
15 14812 1.0
15 17111 1.0
15 17112 1.0
15 17113 1.0
23 24 1.0
23 25 1.0
23 26 1.0
23 27 1.0
23 28 1.0
23 29 1.0
23 30 1.0
23 31 1.0
23 32 1.0
23 33 1.0
29 579 1.0
29 580 1.0
29 581 1.0
29 582 1.0
29 583 1.0
29 584 1.0
29 585 1.0
29 586 1.0
29 587 1.0
29 588 1.0
33 2321 1.0
33 2877 1.0
33 2878 1.0
33 2879 1.0
33 2880 1.0
33 2881 1.0
33 2882 1.0
33 2883 1.0
33 2884 1.0
33 2885 1.0
34 35 1.0
34 36 1.0
34 37 1.0
34 38 1.0
34 39 1.0
34 40 1.0
34 41 1.0
34 42 1.0
34 43 1.0
40 5011 1.0
40 7380 1.0
40 7381 1.0
40 7382 1.0
40 7383 1.0
40 7384 1.0
40 7385 1.0
40 7386 1.0
40 7387 1.0
40 7388 1.0
44 45 1.0
44 46 1.0
44 47 1.0
44 48 1.0
44 49 1.0
44 50 1.0
44 51 1.0
44 52 1.0
44 53 1.0
44 54 1.0
46 2631 1.0
46 4920 1.0
46 7568 1.0
46 10206 1.0
46 12480 1.0
46 18366 1.0
46 20226 1.0
46 23132 1.0
46 23133 1.0
46 23134 1.0
47 777 1.0
47 1954 1.0
47 12678 1.0
47 12844 1.0
47 13365 1.0
47 13367 1.0
47 13813 1.0
47 15059 1.0
47 17154 1.0
47 17155 1.0
49 221 1.0
49 222 1.0
49 223 1.0
49 224 1.0
49 225 1.0
49 226 1.0
49 227 1.0
49 228 1.0
49 229 1.0
49 230 1.0
51 2283 1.0
51 3707 1.0
51 4428 1.0
51 4429 1.0
51 4430 1.0
51 4431 1.0
51 4432 1.0
51 4433 1.0
51 4434 1.0
51 4435 1.0
52 357 1.0
52 362 1.0
52 363 1.0
52 364 1.0
52 365 1.0
52 777 1.0
52 778 1.0
52 779 1.0
52 780 1.0
52 781 1.0
53 640 1.0
53 1232 1.0
53 12272 1.0
53 12273 1.0
53 12274 1.0
53 12275 1.0
53 12276 1.0
53 12277 1.0
