548526 13474
72 261013 0.5
72 261045 0.3333333333333333
72 393722 0.5
72 417572 0.3333333333333333
72 483854 0.16666666666666666
123 243476 1.0
123 302515 0.5
123 318490 0.3333333333333333
123 320026 0.2
123 366783 0.2
127 26512 1.0
127 350693 0.5
127 374192 0.3333333333333333
127 441001 0.25
127 530339 0.14285714285714285
175 131231 1.0
175 132530 0.5
175 132724 0.5
175 201854 0.25
175 321840 0.2
175 347857 0.2
175 533156 0.2
348 37215 1.0
348 220968 0.25
348 340504 0.25
348 535817 0.25
348 543798 0.1111111111111111
413 31822 1.0
413 265605 0.5
413 362148 0.5
413 363231 0.5
413 410078 0.25
413 501099 0.3333333333333333
598 24700 1.0
598 163893 0.3333333333333333
598 164709 0.5
598 198912 0.5
598 243897 0.5
598 344714 0.16666666666666666
598 420117 0.14285714285714285
598 527560 0.25
872 74022 1.0
872 183870 1.0
872 247193 0.25
872 255354 0.3333333333333333
872 366252 0.125
872 466633 0.2
1601 330541 0.5
1601 382057 0.3333333333333333
1601 417271 0.25
1601 425506 0.16666666666666666
1636 1639 1.0
1636 261661 0.5
1636 544402 0.3333333333333333
1636 546960 0.16666666666666666
1636 546963 0.14285714285714285
1639 261661 0.5
1639 544402 0.3333333333333333
1639 546960 0.16666666666666666
1639 546963 0.14285714285714285
1805 35471 1.0
1805 49242 0.3333333333333333
1805 49267 0.5
1805 158840 0.5
1805 164685 0.25
1805 321496 0.3333333333333333
1805 376497 0.25
1805 393053 0.1
1805 528992 0.25
1871 30561 1.0
1871 89324 0.5
1871 300767 0.5
1871 374434 0.3333333333333333
1871 449837 0.07142857142857142
2222 114392 0.5
2222 139406 0.5
2222 261396 0.3333333333333333
2222 264685 0.5
2222 289507 0.25
2222 328670 0.16666666666666666
2222 424391 0.16666666666666666
2222 479183 0.25
2222 497567 0.25
2222 527733 0.09090909090909091
2222 530163 0.25
2229 17347 1.0
2229 76245 0.25
2229 312848 0.2
2245 40923 1.0
2245 222687 0.16666666666666666
2245 243993 0.2
2245 276363 0.14285714285714285
2245 488230 0.08333333333333333
2347 20560 1.0
2347 372300 0.16666666666666666
2347 404584 0.2
2347 445170 0.2
2502 92799 0.14285714285714285
2502 386342 0.09090909090909091
2502 510771 0.05263157894736842
2640 65359 1.0
2640 127710 0.25
2640 259115 0.3333333333333333
2640 352695 0.2
2682 112013 1.0
2682 254183 0.5
2682 316506 0.2
2769 20182 0.5
2769 20184 0.3333333333333333
2769 20185 0.25
2769 119245 0.2
2769 262819 0.16666666666666666
2990 8182 1.0
2990 121943 0.3333333333333333
2990 271883 0.25
2990 370446 0.25
3084 250398 0.5
3084 276687 0.3333333333333333
3084 348708 0.125
3084 512926 0.08333333333333333
3119 101938 0.3333333333333333
3119 246767 0.14285714285714285
3119 276846 0.14285714285714285
3119 362550 0.1111111111111111
3119 436449 0.25
3122 132829 0.5
3122 143494 0.3333333333333333
3122 201248 0.25
3122 411092 0.07142857142857142
3122 420628 0.07692307692307693
3122 485257 0.07692307692307693
3209 75286 0.5
3209 149494 0.125
3209 383249 0.05263157894736842
3235 62952 1.0
3235 396805 0.3333333333333333
3235 457677 0.125
3235 474917 0.1
3235 505304 0.047619047619047616
3424 69539 1.0
3424 105547 1.0
3424 116209 0.3333333333333333
3424 163204 0.2
3424 219314 0.2
3455 77481 0.5
3455 178221 0.3333333333333333
3455 238356 0.16666666666666666
3455 311108 0.3333333333333333
3455 378469 0.08333333333333333
3455 396412 0.3333333333333333
3455 404544 0.3333333333333333
3849 35114 0.25
3849 38730 1.0
3849 76212 0.5
3849 229018 0.09090909090909091
3849 311507 0.2
3849 332907 0.05555555555555555
4004 44110 1.0
4004 72732 0.5
4004 97673 0.3333333333333333
4004 124689 0.3333333333333333
4004 282980 0.25
4004 319135 0.3333333333333333
4004 391664 0.16666666666666666
4004 463619 0.16666666666666666
4004 474166 0.16666666666666666
4004 493577 0.14285714285714285
4004 496976 0.25
4004 527274 0.25
4067 85991 1.0
4067 94323 1.0
4067 118908 0.2
4067 211336 0.16666666666666666
4067 236356 0.14285714285714285
4067 240859 0.3333333333333333
4067 255102 0.07142857142857142
4067 261065 0.14285714285714285
4067 514552 0.1111111111111111
4091 104190 1.0
4091 128900 0.5
4091 341574 0.3333333333333333
4091 389643 0.25
4091 413418 0.2
4176 9178 1.0
4176 144981 0.1
4176 352993 0.2
4176 489116 0.045454545454545456
4261 34378 1.0
4261 95460 0.3333333333333333
4261 162678 0.25
4261 226869 0.5
4261 227310 0.16666666666666666
4261 302968 0.5
4261 319197 0.5
4261 329350 0.16666666666666666
4261 329391 0.16666666666666666
4261 406412 0.1111111111111111
4261 470787 0.16666666666666666
4261 513207 0.2
4261 526953 0.2
4364 124818 0.2
4364 211725 0.5
4364 349449 0.5
4364 421254 0.3333333333333333
4364 493949 0.125
4388 49242 0.3333333333333333
4388 267327 0.3333333333333333
4388 321496 0.3333333333333333
4388 376497 0.25
4388 393053 0.1
4388 405955 0.25
4389 318579 0.25
4389 342639 0.2
4389 486875 0.1
4389 526213 0.1111111111111111
4405 157088 1.0
4405 234223 0.2
4405 430040 0.1
4405 453998 0.09090909090909091
4405 535390 0.07142857142857142
4464 124907 1.0
4464 202569 0.5
4464 452469 0.25
4464 497933 0.14285714285714285
4464 503386 0.25
4464 523811 0.125
4766 49755 0.05263157894736842
4766 84391 0.047619047619047616
4766 544169 0.041666666666666664
4803 26283 1.0
4803 49696 0.5
4803 84511 0.25
4803 91725 0.2
4803 123899 0.2
4803 354668 0.2
4803 518090 0.2
4890 154367 1.0
4890 240948 0.5
4890 391005 0.3333333333333333
4890 482089 0.3333333333333333
4890 485777 0.2
4890 540861 0.16666666666666666
4997 268034 0.2
4997 336726 0.2
4997 353577 0.1111111111111111
4997 421173 0.2
4997 445086 0.125
5237 168719 0.25
5237 229509 0.14285714285714285
5237 406304 0.125
5237 445715 0.07692307692307693
5237 494859 0.1111111111111111
5383 110506 1.0
5383 110511 0.5
5383 110747 0.3333333333333333
5383 192984 0.3333333333333333
5383 372394 0.2
5383 432504 0.16666666666666666
5455 68430 0.5
5455 143158 0.5
5455 197796 0.3333333333333333
5455 324083 0.2
5455 352090 0.25
5455 441253 0.25
5456 15488 1.0
5456 251107 0.3333333333333333
5456 270272 0.16666666666666666
5456 310936 0.1111111111111111
5456 496328 0.08333333333333333
5581 47929 1.0
5581 193374 0.5
5581 329507 0.5
5581 335027 0.5
5581 350683 0.3333333333333333
5581 374743 0.2
5581 492633 0.1111111111111111
5581 495202 0.1
5828 98587 1.0
5828 118942 0.3333333333333333
5828 143607 0.2
5828 444874 0.05555555555555555
5828 541958 0.07692307692307693
6164 29914 1.0
6164 173376 0.25
6164 268034 0.2
6164 350245 0.16666666666666666
6169 81956 1.0
6169 121595 0.16666666666666666
6169 187951 0.5
6169 215496 0.5
6169 256478 0.1
6169 273063 0.3333333333333333
6169 337821 0.25
6169 345141 0.25
6169 368758 0.09090909090909091
6169 393537 0.3333333333333333
6169 446996 0.25
6169 470865 0.25
6169 495785 0.08333333333333333
6169 505754 0.25
6289 16050 1.0
6289 91626 0.5
6289 237770 0.2
6289 343350 0.1111111111111111
6289 471108 0.14285714285714285
6632 49270 1.0
6632 175207 0.2
6632 339166 0.2
6632 479040 0.125
6689 53840 0.5
6689 132502 0.2
6689 314402 0.2
6689 494263 0.047619047619047616
6853 19621 1.0
6853 30848 0.5
6853 140013 0.25
6853 224055 0.3333333333333333
6853 375547 0.2
6853 478546 0.1
7547 153074 0.3333333333333333
7547 159052 0.25
7547 161948 0.25
7547 169352 0.2
7547 181063 0.25
7547 214045 0.25
7547 225456 0.25
7547 311489 0.5
7547 347738 0.16666666666666666
7547 380325 0.06666666666666667
7547 389528 0.2
7547 392650 0.2
7547 431942 0.25
