425746 15794
437 232324 0.16666666666666666
437 389348 0.5
485 1450 1.0
646 42776 1.0
646 172106 0.3333333333333333
646 181037 0.3333333333333333
646 350608 0.25
646 395255 0.2
1338 54491 1.0
1338 54492 0.5
1338 54493 0.3333333333333333
1338 55721 0.25
1338 57258 0.2
1450 7741 1.0
1450 7931 0.5
1450 26611 0.3333333333333333
1450 86836 0.125
1450 232324 0.16666666666666666
1450 274774 0.16666666666666666
1450 319977 0.14285714285714285
1450 319978 0.125
1450 319979 0.1111111111111111
1450 319980 0.1
1557 24528 1.0
1557 48840 0.5
1557 55225 0.3333333333333333
1557 79380 0.25
1557 99564 0.2
1557 103937 0.16666666666666666
1557 127130 0.14285714285714285
1557 131395 0.125
1557 131396 0.1111111111111111
1990 86182 1.0
1990 90268 0.5
1990 97630 0.3333333333333333
1990 128655 0.25
1990 190583 0.2
1990 193659 0.16666666666666666
1990 237209 0.14285714285714285
1990 259341 0.125
1990 261488 0.1111111111111111
1990 261489 0.1
1990 261490 0.09090909090909091
1990 261491 0.08333333333333333
1990 261492 0.07692307692307693
1990 261493 0.07142857142857142
1990 261494 0.06666666666666667
2059 24827 1.0
2059 44686 1.0
2059 70765 0.5
2059 77848 0.3333333333333333
2059 77849 0.25
2059 77850 0.2
3214 146254 1.0
3214 250163 0.16666666666666666
3214 362484 0.3333333333333333
3214 362486 0.25
3447 96716 0.5
3447 103939 0.5
3447 103940 0.3333333333333333
3954 17696 0.5
3954 57754 0.5
3954 57755 0.3333333333333333
3954 59802 0.25
3954 59803 0.2
3954 59804 0.16666666666666666
3954 59805 0.14285714285714285
3954 59806 0.125
3954 59807 0.1111111111111111
3954 59808 0.1
3954 59809 1.0
3954 59864 0.5
3954 59865 0.3333333333333333
4071 22039 1.0
4071 79650 0.5
4071 130138 0.2
4071 142201 0.25
4071 199960 0.2
4071 239264 0.16666666666666666
4071 266090 0.14285714285714285
4341 8701 1.0
4341 26499 0.5
4341 56383 0.5
4341 95791 0.25
4341 95989 0.2
4341 199856 0.5
4341 279945 0.5
4514 7205 1.0
4514 15488 0.5
4514 16087 0.3333333333333333
4514 17634 0.25
4514 19255 0.2
4514 19598 0.16666666666666666
4514 19599 0.14285714285714285
4514 19624 0.125
4749 52360 1.0
4749 88698 0.5
4749 88699 0.3333333333333333
4749 88700 0.25
4749 88701 0.2
4998 114192 1.0
4998 136018 0.3333333333333333
4998 230230 0.3333333333333333
4998 242007 0.25
4998 242008 0.2
4998 245611 0.16666666666666666
5068 22765 1.0
5068 23296 0.5
5068 31584 0.3333333333333333
5068 31585 0.25
5068 31586 0.2
5290 8032 1.0
5290 18836 0.5
5290 26817 0.3333333333333333
5290 28287 0.5
5290 40164 0.3333333333333333
5290 40890 0.25
5290 51481 0.2
5290 57457 0.16666666666666666
5456 10656 1.0
5456 238161 0.5
5456 290408 0.3333333333333333
5456 290409 0.25
5456 290410 0.2
5456 290411 0.16666666666666666
5456 290412 0.14285714285714285
5456 290413 0.125
5456 290414 0.1111111111111111
5456 300678 0.1
5517 14168 1.0
5517 14318 0.5
5517 26467 0.3333333333333333
5517 28552 0.25
5517 29494 0.2
5658 31518 0.3333333333333333
5658 156287 0.16666666666666666
5658 188694 0.09090909090909091
5751 57976 1.0
5751 58572 0.5
5751 58573 0.3333333333333333
5751 62653 0.3333333333333333
5791 15573 1.0
5791 16372 0.5
5791 16832 0.3333333333333333
5791 18075 0.3333333333333333
5791 18527 0.25
5791 20669 0.2
5791 42963 0.25
5791 73017 0.14285714285714285
5791 75903 0.1111111111111111
5791 84356 0.125
5791 100120 0.16666666666666666
5791 101992 0.14285714285714285
5791 105732 0.25
6070 89116 1.0
6070 175888 0.5
6070 210289 0.3333333333333333
6070 212680 0.25
6070 212681 0.2
6070 213709 0.16666666666666666
6070 213710 0.14285714285714285
6302 11950 1.0
6302 68528 0.5
6302 83362 0.3333333333333333
6302 88535 1.0
6302 141386 0.25
6302 238656 0.5
6302 242063 1.0
6579 18202 1.0
6579 72780 0.3333333333333333
6579 133470 0.25
6579 144318 0.5
6579 251887 0.3333333333333333
6579 260169 0.2
6579 317380 0.25
6579 324626 0.2
6579 370745 0.16666666666666666
6579 394235 0.14285714285714285
6579 394236 0.125
6778 68734 1.0
6778 75151 0.5
6778 94645 0.3333333333333333
6778 147307 0.25
6778 151191 0.2
6778 184505 0.16666666666666666
6778 238987 0.14285714285714285
6778 257954 0.125
6778 257955 0.1111111111111111
6778 257956 0.1
6778 257957 0.09090909090909091
6778 257958 0.08333333333333333
6778 257959 0.07692307692307693
6778 257960 0.07142857142857142
6778 257961 0.06666666666666667
6778 259433 0.0625
6778 259434 0.058823529411764705
6938 17696 0.5
6938 35027 1.0
6938 48780 0.5
7003 19909 1.0
7003 19910 0.5
7003 19911 0.3333333333333333
7003 19912 0.25
7003 20041 0.2
7003 20042 0.16666666666666666
7003 20043 0.14285714285714285
7205 15488 0.5
7205 16087 0.3333333333333333
7205 17634 0.25
7205 19255 0.2
7205 19598 0.16666666666666666
7205 19599 0.14285714285714285
7205 19624 0.125
7310 62549 1.0
7310 182396 0.5
7310 216819 0.3333333333333333
7310 276800 0.25
7310 286652 0.2
7310 308941 0.16666666666666666
7662 74220 1.0
7662 203829 0.5
7662 297475 0.16666666666666666
7741 7931 0.5
7741 11737 0.5
7741 26611 0.3333333333333333
7741 78341 1.0
7741 86836 0.125
7741 111107 1.0
7741 232324 0.16666666666666666
7741 274774 0.16666666666666666
7741 319977 0.14285714285714285
7741 319978 0.125
7741 319979 0.1111111111111111
7741 319980 0.1
7741 367308 0.1111111111111111
7853 54310 1.0
7853 54311 0.5
7853 55496 0.3333333333333333
7853 55497 0.25
7853 55498 0.2
7853 55499 0.16666666666666666
7853 55500 0.14285714285714285
7868 8108 1.0
7868 8771 0.5
7868 16506 0.3333333333333333
7868 17097 0.25
7868 23444 0.2
7868 23445 0.16666666666666666
7868 23446 0.14285714285714285
7868 24036 0.125
7868 25630 0.1111111111111111
7931 26611 0.3333333333333333
7931 61412 0.5
7931 86836 0.125
7931 232324 0.16666666666666666
7931 274774 0.16666666666666666
7931 319977 0.14285714285714285
7931 319978 0.125
7931 319979 0.1111111111111111
7931 319980 0.1
7951 15762 0.25
7951 26616 0.5
7951 31322 0.25
7951 31518 0.3333333333333333
7951 52731 0.25
7951 66237 0.5
7951 66560 0.3333333333333333
7951 83306 0.25
7951 179449 0.14285714285714285
7951 188693 0.3333333333333333
8032 18836 0.5
8032 26817 0.3333333333333333
8032 28287 0.5
8032 40164 0.3333333333333333
8032 40890 0.25
8032 51481 0.2
8032 57457 0.16666666666666666
8032 170476 1.0
8032 219803 0.5
8032 225054 1.0
8032 280595 0.25
8032 326981 0.5
8032 344849 0.3333333333333333
8032 344850 0.25
8032 422173 0.25
8108 8771 0.5
8108 16506 0.3333333333333333
8108 17097 0.25
8108 23444 0.2
8108 23445 0.16666666666666666
8108 23446 0.14285714285714285
8108 24036 0.125
8108 25630 0.1111111111111111
8171 55845 1.0
8171 77771 0.5
8171 95009 0.3333333333333333
8171 100806 0.25
8171 132674 0.16666666666666666
8171 145966 0.14285714285714285
8171 148977 0.125
8171 152887 0.125
8171 190201 0.09090909090909091
8171 234625 0.09090909090909091
8171 258258 0.07142857142857142
8171 258259 0.08333333333333333
8171 258261 0.058823529411764705
8514 8518 1.0
8514 10002 0.5
8514 15762 0.25
8514 19407 0.25
8514 19525 0.2
8514 19526 0.16666666666666666
8514 19610 0.14285714285714285
8518 10002 0.5
8518 15762 0.25
8518 19407 0.25
8518 19525 0.2
8518 19526 0.16666666666666666
8518 19610 0.14285714285714285
8701 26499 0.5
8701 56383 0.5
8701 95791 0.25
8701 95989 0.2
8701 195613 0.5
8762 43180 1.0
8762 50508 0.5
8762 50509 0.3333333333333333
8762 50510 0.25
8762 56348 0.2
8771 16506 0.3333333333333333
8771 17097 0.25
8771 23444 0.2
8771 23445 0.16666666666666666
8771 23446 0.14285714285714285
8771 24036 0.125
8771 25630 0.1111111111111111
9234 297552 1.0
9234 297553 0.5
9234 297554 0.3333333333333333
9234 311318 0.25
9234 315843 0.2
9865 18545 1.0
9865 18546 0.5
9865 18568 0.3333333333333333
9865 18569 0.25
9865 18914 0.2
9865 19181 0.16666666666666666
9865 19182 0.14285714285714285
9865 19183 0.125
10002 15762 0.25
10002 19407 0.25
10002 19525 0.2
10002 19526 0.16666666666666666
10002 19610 0.14285714285714285
10139 205429 1.0
10139 254710 0.5
10139 320759 0.3333333333333333
10139 320760 0.25
10139 320761 0.2
10656 238161 0.5
10656 290408 0.3333333333333333
10656 290409 0.25
10656 290410 0.2
10656 290411 0.16666666666666666
10656 290412 0.14285714285714285
10656 290413 0.125
10656 290414 0.1111111111111111
10656 300678 0.1
10682 97297 1.0
10682 97298 0.5
10682 97299 0.3333333333333333
10682 104473 0.25
10682 104474 0.2
10795 66378 1.0
10795 102966 0.5
10795 107385 0.3333333333333333
10795 107386 0.25
10795 108868 0.2
10827 67281 1.0
10827 69705 0.5
10827 69706 0.3333333333333333
10827 69707 0.25
10827 73490 0.2
10892 68998 1.0
10892 72713 1.0
10892 262962 0.2
10892 262963 0.5
10892 264422 0.3333333333333333
10892 269950 0.25
11111 14983 1.0
11111 50947 0.5
11111 66153 0.3333333333333333
11111 66154 0.25
11111 66156 0.2
11111 66158 0.16666666666666666
11173 37568 1.0
11173 71991 0.5
11173 94968 0.3333333333333333
11173 367181 0.25
11173 367182 0.2
11173 367183 0.16666666666666666
11173 367184 0.14285714285714285
11173 367185 0.125
11173 367186 0.1111111111111111
11173 402242 0.1
11302 11737 0.5
11302 120576 0.5
11302 129092 0.3333333333333333
11302 162831 0.3333333333333333
11302 206444 0.25
11302 206445 0.2
11302 222989 0.16666666666666666
11302 223097 0.14285714285714285
11330 38459 0.5
11330 42399 0.5
11330 144051 0.5
11330 192746 0.5
11330 361964 0.3333333333333333
11330 361965 0.25
11330 383706 0.2
11330 389082 0.16666666666666666
11737 120576 0.5
11737 129092 0.3333333333333333
11737 162831 0.3333333333333333
11737 206444 0.25
11737 206445 0.2
11737 222989 0.16666666666666666
11737 223097 0.14285714285714285
11750 38459 0.5
11750 57919 0.5
11750 57920 0.3333333333333333
11750 57921 0.25
11750 57922 0.2
11789 132369 1.0
11789 156084 1.0
11789 325038 0.5
11789 336946 0.3333333333333333
11789 336947 0.25
11789 336965 0.2
11948 159608 0.5
11948 232590 0.5
11948 232592 0.3333333333333333
11948 248934 0.25
11948 322020 0.2
11948 331961 0.3333333333333333
11948 331962 0.25
11948 339485 0.2
11950 68528 0.5
11950 83362 0.3333333333333333
11950 141386 0.25
11959 233091 0.5
11959 289347 0.2
11959 290071 0.16666666666666666
11959 340472 0.3333333333333333
12109 25572 1.0
12109 33402 0.5
12109 34915 0.3333333333333333
12109 51135 0.25
12109 76743 0.2
12109 83025 0.16666666666666666
12109 100066 0.14285714285714285
12109 101604 0.125
12109 141749 0.1111111111111111
12109 177994 0.1
12109 210674 0.09090909090909091
12109 228059 0.08333333333333333
12109 238781 0.07692307692307693
12276 73901 1.0
12276 76921 0.5
12276 136501 0.3333333333333333
12276 208022 0.25
12276 208023 0.2
12276 208024 0.16666666666666666
12495 35117 1.0
12495 35119 0.5
12495 35120 0.3333333333333333
12495 47734 0.25
12495 54224 0.2
12495 54225 0.16666666666666666
12915 13699 1.0
12915 13700 0.5
12915 13701 0.3333333333333333
12915 13702 0.25
12915 13987 0.2
13482 24830 0.5
13482 36541 0.5
13482 68693 0.3333333333333333
13482 94805 0.25
13482 131269 0.2
13482 134087 0.16666666666666666
13482 134088 0.14285714285714285
13482 134089 0.125
13482 134090 0.1111111111111111
13699 13700 0.5
13699 13701 0.3333333333333333
13699 13702 0.25
13699 13987 0.2
13700 13701 0.3333333333333333
13700 13702 0.25
13700 13987 0.2
13701 13702 0.25
13701 13987 0.2
13702 13987 0.2
13722 38244 0.5
13722 45573 0.5
13722 63870 1.0
13722 98405 0.3333333333333333
13722 109360 0.25
13722 260239 0.2
13722 260240 0.16666666666666666
13722 260241 0.14285714285714285
13722 260243 0.125
13722 260244 0.1111111111111111
13861 187430 1.0
13861 187431 0.125
13864 106719 1.0
13864 137251 0.5
13864 194267 0.3333333333333333
13864 243882 0.2
13864 347913 0.2
13864 419866 0.16666666666666666
13954 21530 1.0
13954 45848 0.5
13954 47655 0.3333333333333333
13954 47656 0.25
13954 47657 0.2
14105 41972 1.0
14105 101108 0.5
14105 102552 0.3333333333333333
14105 111543 0.25
14105 113991 0.2
14105 113992 0.16666666666666666
14105 113993 0.14285714285714285
14105 113994 0.125
14105 113995 0.1111111111111111
14105 113996 0.1
14105 115115 0.09090909090909091
14105 115116 0.08333333333333333
14168 14318 0.5
14168 26467 0.3333333333333333
14168 28552 0.25
14168 29494 0.2
14318 26467 0.3333333333333333
14318 28552 0.25
14318 29494 0.2
14391 18995 1.0
14391 38650 0.5
14391 38651 0.3333333333333333
14391 38652 0.25
14391 40404 0.2
14391 43153 0.16666666666666666
14983 50947 0.5
14983 66153 0.3333333333333333
14983 66154 0.25
14983 66156 0.2
14983 66158 0.16666666666666666
15289 26303 1.0
15289 26304 0.5
15289 28169 0.3333333333333333
15289 28170 0.25
15289 28181 0.2
15372 54994 1.0
15372 96629 0.16666666666666666
15372 117218 1.0
15372 333725 0.5
15372 411877 0.3333333333333333
15372 411879 0.25
15372 412492 0.2
15415 34260 0.5
15415 128886 0.3333333333333333
15415 257822 0.5
15488 16087 0.3333333333333333
15488 17634 0.25
15488 19255 0.2
15488 19598 0.16666666666666666
15488 19599 0.14285714285714285
15488 19624 0.125
15573 16372 0.5
15573 16832 0.3333333333333333
15573 18075 0.3333333333333333
15573 18527 0.25
15573 20669 0.2
15573 42963 0.25
15573 73017 0.14285714285714285
15573 75903 0.1111111111111111
15573 84356 0.125
15573 100120 0.16666666666666666
15573 101992 0.14285714285714285
15762 19407 0.25
15762 19525 0.2
15762 19526 0.16666666666666666
15762 19610 0.14285714285714285
15762 26616 0.5
15762 156287 0.16666666666666666
15762 188693 0.3333333333333333
15762 188694 0.09090909090909091
15834 39650 1.0
15834 44074 0.5
15834 91649 0.3333333333333333
15834 97987 0.25
15834 97988 0.2
15834 97990 0.16666666666666666
15834 97992 0.14285714285714285
15834 97993 0.125
15834 97994 0.1111111111111111
15834 97995 0.1
15834 100729 0.09090909090909091
15834 102097 0.08333333333333333
16087 17634 0.25
16087 19255 0.2
