62 159
8 3 0.333333
9 5 0.25
9 6 0.166667
10 0 0.166667
10 2 0.25
13 5 0.25
13 6 0.166667
13 9 0.2
14 0 0.166667
14 3 0.333333
15 0 0.166667
16 14 0.1
17 1 0.125
17 6 0.166667
17 9 0.2
17 13 0.2
18 15 0.166667
19 1 0.125
19 7 0.2
20 8 0.2
20 16 0.2
20 18 0.166667
21 18 0.166667
22 17 0.2
24 14 0.1
24 15 0.166667
24 18 0.166667
25 17 0.2
26 1 0.125
26 25 0.5
27 1 0.125
27 7 0.2
27 17 0.2
27 25 0.5
27 26 1.0
28 1 0.125
28 8 0.2
28 20 0.166667
29 10 0.333333
29 18 0.166667
29 21 0.2
29 24 0.333333
30 7 0.2
30 19 0.5
30 28 0.5
31 17 0.2
32 9 0.2
32 13 0.2
33 12 1.0
33 14 0.1
33 16 0.2
33 21 0.2
34 14 0.1
34 33 0.166667
35 29 0.2
36 1 0.125
36 20 0.166667
36 23 0.333333
37 8 0.2
37 14 0.1
37 16 0.2
37 21 0.2
37 33 0.166667
37 34 0.333333
37 36 0.25
38 14 0.1
38 16 0.2
38 20 0.166667
38 33 0.166667
39 36 0.25
40 0 0.166667
40 7 0.2
40 14 0.1
40 15 0.166667
40 33 0.166667
40 36 0.25
40 37 0.25
41 1 0.125
41 9 0.2
41 13 0.2
42 0 0.166667
42 2 0.25
42 10 0.333333
42 30 0.5
43 14 0.1
43 29 0.2
43 33 0.166667
43 37 0.25
43 38 0.25
44 2 0.25
44 20 0.166667
44 34 0.333333
44 38 0.25
45 8 0.2
45 15 0.166667
45 18 0.166667
45 21 0.2
45 23 0.333333
45 24 0.333333
45 29 0.2
45 37 0.25
46 43 0.5
47 0 0.166667
47 10 0.333333
47 20 0.166667
47 28 0.5
47 30 0.5
47 42 0.5
49 34 0.333333
49 46 1.0
50 14 0.1
50 16 0.2
50 20 0.166667
50 33 0.166667
50 42 0.5
50 45 0.333333
51 4 1.0
51 11 1.0
51 18 0.166667
51 21 0.2
51 23 0.333333
51 24 0.333333
51 29 0.2
51 45 0.333333
51 50 1.0
52 14 0.1
52 29 0.2
52 38 0.25
52 40 1.0
53 43 0.5
54 1 0.125
54 6 0.166667
54 7 0.2
54 13 0.2
54 19 0.5
54 41 0.5
55 15 0.166667
55 51 1.0
56 5 0.25
56 6 0.166667
57 5 0.25
57 6 0.166667
57 9 0.2
57 13 0.2
57 17 0.2
57 39 1.0
57 41 0.5
57 48 1.0
57 54 1.0
58 38 0.25
59 3 0.333333
59 8 0.2
59 15 0.166667
59 36 0.25
59 45 0.333333
60 32 1.0
61 2 0.25
61 37 0.25
61 53 1.0
